stage,n,r2,f_stat,doc_count_coef,doc_count_se,doc_count_t,policy_iv_coef,policy_iv_se,policy_iv_t,iv
1st,27,0.2478600400952311,1.07494063903347,-5.325981566564106,5.13697459552691,-1.036793440871165,,,,
2nd,27,0.7467705178331242,,,,,-0.004302555664141585,0.01022923695504636,-0.42061354948073787,
1st,27,0.21529696415940525,0.034397709005811815,-1.6241608651893427,8.757180124215475,-0.18546619370066292,,,,env_policy_count
2nd,27,0.7486250617328594,,,,,0.03324747673506824,0.0557790663755033,0.5960565297247367,env_policy_count
1st,27,0.21747363517273255,0.10125165689486562,-2.9653558313326243,9.319138046918129,-0.3182006550823955,,,,ecommerce_policy_count
2nd,27,0.7533852557135886,,,,,-0.029296580619228116,0.032246801045174626,-0.9085112218786124,ecommerce_policy_count
1st,27,0.3524220426474405,5.123697977553705,-15.47886313232654,6.838286609765417,-2.2635586976161464,,,,brand_policy_count
2nd,27,0.7469243117910251,,,,,-0.002209642346723944,0.0050479506606201825,-0.43773057529299847,brand_policy_count
1st,27,0.21888482565067413,0.14479383602743637,3.5451659037351972,9.316687458891565,0.3805178524424792,,,,cluster_policy_count
2nd,27,0.7470759440230949,,,,,-0.01240912354483624,0.027333180687285852,-0.45399486019599605,cluster_policy_count
1st,27,0.24140300836379414,0.8615075656687645,-9.835375581772928,10.596474589854237,-0.9281743185785548,,,,equipment_policy_count
2nd,27,0.7467665374026291,,,,,0.004780457193695556,0.011377664376386118,0.4201615582559459,equipment_policy_count
