Year,Gaoyang_actual,Synthetic_Gaoyang,Gap,Period
2000,35.0,243.00000004181533,-208.00000004181533,Pre
2001,34.0,107.00000002833721,-73.00000002833721,Pre
2002,57.0,47.00000002437949,9.999999975620511,Pre
2003,59.0,96.00000002232944,-37.000000022329445,Pre
2004,445.0,549.0000000702588,-104.0000000702588,Pre
2005,115.0,105.00000002806246,9.999999971937541,Pre
2006,106.0,71.00000003199114,34.999999968008865,Pre
2007,76.0,79.00000002767413,-3.000000027674133,Pre
2008,157.0,102.00000003147059,54.99999996852941,Pre
2009,111.0,111.00000003427722,-3.427722106152942e-08,Pre
2010,86.0,122.00000003009751,-36.00000003009751,Pre
2011,76.0,106.00000002447412,-30.00000002447412,Pre
2012,124.0,113.0000000198306,10.999999980169406,Pre
2013,325.0,389.0000000256673,-64.0000000256673,Pre
2014,325.0,335.00000003360356,-10.000000033603555,Pre
2015,421.0,284.0000000430363,136.99999995696368,Pre
2016,716.0,365.0000000508149,350.9999999491851,Pre
2017,620.0,348.000000055218,271.999999944782,Post
2018,450.0,301.0000000444339,148.99999995556612,Post
2019,534.0,295.00000002830996,238.99999997169004,Post
2020,503.0,310.0000000373951,192.99999996260487,Post
2021,460.0,379.00000003772067,80.99999996227933,Post
2022,443.0,501.000000042453,-58.000000042452996,Post
2023,777.0,783.0000000588784,-6.000000058878413,Post
2024,642.0,686.0000000417147,-44.00000004171466,Post
