year,province,county,above_scale_ind_firms,above_scale_industry_output,agri_employment,agri_labor,agri_machinery_power,agriculture_va,animal_husbandry_va,area_km2,capital_construction_invest,cotton_output,crop_sowing_area,deposit_balance,facility_agri_area,facility_agri_plant_area,fertilizer_usage,fiscal_expenditure,fiscal_revenue_per_capita,fixed_asset_invest,fixed_asset_invest_ex_household,fixed_phone,gdp,grain_output,grain_per_capita,grain_sowing_area,hospital_beds,hospital_beds_per_10k,loan_balance,local_fiscal_expenditure,local_fiscal_revenue,local_phone,meat_output,mechanical_harvest_area,middle_school_students,oilseed_output,plastic_film_usage,primary_industry_va,primary_school_students,public_fiscal_expenditure,public_fiscal_revenue,registered_pop,rural_electricity,rural_employment,rural_households,rural_labor,rural_pop,secondary_employment,secondary_industry_va,students_per_teacher,subdistrict_count,tax_revenue,tertiary_employment,tertiary_industry_va,total_households,total_pop,total_students,town_count,township_count,urban_fixed_invest,village_committee_count,voc_edu_students,welfare_beds,welfare_institutions
2000,上海市,南汇县,,,,9.1,15.1,,,,,,69127.0,235700.0,,,12257.0,36108.0,514.8,,,,,241607.0,344.2,39473.0,,15.5,178400.0,,36142.0,,27053.0,,,,346.0,,,,,,,,,34.5,58.1,,,,,,,,,70.2,,,27.0,,346.0,,,
2000,上海市,塔河县,,,,0.1,1.0,,,,,,2748.0,14841.0,,,94.0,3603.0,371.9,,,,,4898.0,48.0,2321.0,,2.0,20000.0,,3793.0,,365.0,,,,4.0,,,,,,,,,0.2,0.8,,,,,,,,,10.2,,,3.0,,17.0,,,
2000,上海市,奉贤县,,,,4.3,15.2,,,,,,61829.0,151607.0,,,8184.0,26822.0,576.0,,,,,238073.0,456.1,39180.0,,17.5,183991.0,,30066.0,,21830.0,,,,482.0,,,,,,,,,24.1,42.8,,,,,,,,,52.2,,,21.0,,298.0,,,
2000,上海市,漠河县,,,,0.1,1.0,,,,,,2161.0,19096.0,,,30.0,4488.0,556.3,,,,,2048.0,24.4,1572.0,,3.6,31481.0,,4673.0,,243.0,,,,217.0,,,,,,,,,0.1,0.4,,,,,,,,,8.4,,,2.0,,8.0,,,
2000,云南省,三都自治县,,,,11.9,2.5,,,,,,25452.0,4131.0,,,2654.0,697.0,27.5,,,,,51638.0,191.3,18215.0,,4.2,6639.0,,743.0,,4907.0,,,,5.0,,,,,,,,,12.4,25.9,,,,,,,,,27.0,,,21.0,,271.0,,,
2000,云南省,呈贡县,,,,6.6,7.2,,,,,,13709.0,18364.0,,,19830.0,2811.0,200.8,,,,,38477.0,274.8,11297.0,,6.1,22120.0,,2811.0,,3898.0,,,,43.0,,,,,,,,,7.8,11.6,,,,,,,,,14.0,,,7.0,,65.0,,,
2000,云南省,惠水县,,,,15.5,2.7,,,,,,39187.0,5288.0,,,5485.0,1531.0,43.7,,,,,115675.0,312.6,31738.0,,3.9,9474.0,,1618.0,,9970.0,,,,12.0,,,,,,,,,17.1,34.0,,,,,,,,,37.0,,,25.0,,429.0,,,
2000,云南省,晋宁县,,,,11.5,12.4,,,,,,27039.0,21475.0,,,4283.0,7016.0,266.0,,,,,86797.0,354.3,22830.0,,5.1,25128.0,,6518.0,,9707.0,,,,167.0,,,,,,,,,13.6,20.5,,,,,,,,,24.5,,,12.0,,129.0,,,
2000,内蒙古自治区,和林格尔县,,,,6.0,5.0,,,21192.0,,,61707.0,5052.0,,,4302.0,916.0,52.0,,,,,94211.0,512.0,46773.0,,5.9,9584.0,,957.0,,4267.0,,,,59.0,,,,,,,,,6.6,16.4,,,,,,,,,18.4,,,17.0,,172.0,,,
2000,内蒙古自治区,托克托县,,,,6.0,10.1,,,,,,40187.0,5540.0,,,6517.0,1242.0,83.3,,,,,88395.0,499.4,29573.0,,4.4,14678.0,,1474.0,,2255.0,,,,131.0,,,,,,,,,6.7,15.1,,,,,,,,,17.7,,,11.0,,120.0,,,
2000,内蒙古自治区,清水河县,,,,2.5,4.8,,,,,,41340.0,6083.0,,,3370.0,984.0,79.6,,,,,47483.0,376.8,28600.0,,8.3,8979.0,,1003.0,,2776.0,,,,106.0,,,,,,,,,3.0,11.0,,,,,,,,,12.6,,,14.0,,126.0,,,
2000,北京市,大兴县,,,,11.7,36.5,,,,,,88256.0,99495.0,,,22673.0,11663.0,242.6,,,,,375522.0,755.6,63776.0,,13.4,194774.0,,12058.0,,27681.0,,,,1500.0,,,,,,,,,18.2,38.7,,,,,,,,,49.7,,,27.0,,556.0,,,
2000,北京市,昌平县,,,,4.2,22.0,,,,,,42269.0,102194.0,,,9445.0,15897.0,373.2,,,,,215373.0,524.0,37911.0,,51.9,194364.0,,15337.0,,19800.0,,,,145.0,,,,,,,,,11.4,26.7,,,,,,,,,41.1,,,33.0,,319.0,,,
2000,北京市,通县,,,,8.4,53.3,,,,,,99808.0,148970.0,,,31324.0,16823.0,298.7,,,,,618038.0,1047.5,83959.0,,4.6,273823.0,,17624.0,,42169.0,,,,422.0,,,,,,,,,19.4,44.7,,,,,,,,,59.0,,,22.0,,408.0,,,
2000,北京市,顺义县,,,,6.2,49.7,,,,,,97731.0,131991.0,,,26728.0,21108.0,379.9,,,,,579848.0,1092.0,87173.0,,13.9,280000.0,,20175.0,,49197.0,,,,681.0,,,,,,,,,20.2,45.6,,,,,,,,,53.1,,,28.0,,432.0,,,
2000,吉林省,九台市,,,,24.3,17.7,,,,,,160467.0,44160.0,,,32546.0,4949.0,64.0,,,,,715122.0,882.9,145433.0,,1.6,118553.0,,5188.0,,14504.0,,,,602.0,,,,,,,,,26.8,65.5,,,,,,,,,81.0,,,25.0,,310.0,,,
