行政区划代码,注册年份,区县名称,所属城市,所属省份,一级行业,二级行业,三级行业,注册企业数,Unnamed: 9
130628.0,1979.0,高阳县,保定市,河北省,金融业,货币金融服务,货币银行服务,1.0,
130628.0,1980.0,高阳县,保定市,河北省,制造业,印刷和记录媒介复制业,印刷,1.0,
130628.0,1980.0,高阳县,保定市,河北省,制造业,纺织业,棉纺织及印染精加工,1.0,
130628.0,1980.0,高阳县,保定市,河北省,制造业,通用设备制造业,通用零部件制造,1.0,
130628.0,1981.0,高阳县,保定市,河北省,批发和零售业,批发业,文化、体育用品及器材批发,1.0,
130628.0,1981.0,高阳县,保定市,河北省,批发和零售业,批发业,食品、饮料及烟草制品批发,1.0,
130628.0,1982.0,高阳县,保定市,河北省,农、林、牧、渔业,农、林、牧、渔服务业,农业服务业,1.0,
130628.0,1984.0,高阳县,保定市,河北省,制造业,文教、工美、体育和娱乐用品制造业,工艺美术品制造,1.0,
130628.0,1984.0,高阳县,保定市,河北省,制造业,非金属矿物制品业,砖瓦、石材等建筑材料制造,4.0,
130628.0,1984.0,高阳县,保定市,河北省,制造业,食品制造业,焙烤食品制造,1.0,
130628.0,1985.0,高阳县,保定市,河北省,建筑业,建筑安装业,管道和设备安装,1.0,
130628.0,1985.0,高阳县,保定市,河北省,批发和零售业,零售业,纺织、服装及日用品专门零售,1.0,
130628.0,1986.0,高阳县,保定市,河北省,制造业,化学原料和化学制品制造业,合成材料制造,1.0,
130628.0,1986.0,高阳县,保定市,河北省,建筑业,土木工程建筑业,铁路、道路、隧道和桥梁工程建筑,1.0,
130628.0,1988.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,咨询与调查,1.0,
130628.0,1989.0,高阳县,保定市,河北省,农、林、牧、渔业,农、林、牧、渔服务业,农业服务业,1.0,
130628.0,1989.0,高阳县,保定市,河北省,农、林、牧、渔业,林业,林木育种和育苗,1.0,
130628.0,1989.0,高阳县,保定市,河北省,制造业,农副食品加工业,饲料加工,1.0,
130628.0,1989.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,输配电及控制设备制造,1.0,
130628.0,1989.0,高阳县,保定市,河北省,制造业,纺织业,棉纺织及印染精加工,1.0,
130628.0,1989.0,高阳县,保定市,河北省,房地产业,房地产业,房地产开发经营,1.0,
130628.0,1989.0,高阳县,保定市,河北省,批发和零售业,批发业,农、林、牧产品批发,1.0,
130628.0,1989.0,高阳县,保定市,河北省,批发和零售业,批发业,医药及医疗器材批发,1.0,
130628.0,1989.0,高阳县,保定市,河北省,批发和零售业,批发业,机械设备、五金产品及电子产品批发,1.0,
130628.0,1989.0,高阳县,保定市,河北省,批发和零售业,批发业,矿产品、建材及化工产品批发,1.0,
130628.0,1989.0,高阳县,保定市,河北省,批发和零售业,批发业,纺织、服装及家庭用品批发,1.0,
130628.0,1989.0,高阳县,保定市,河北省,批发和零售业,批发业,食品、饮料及烟草制品批发,3.0,
130628.0,1989.0,高阳县,保定市,河北省,批发和零售业,零售业,五金、家具及室内装饰材料专门零售,3.0,
130628.0,1989.0,高阳县,保定市,河北省,批发和零售业,零售业,医药及医疗器材专门零售,1.0,
130628.0,1989.0,高阳县,保定市,河北省,批发和零售业,零售业,文化、体育用品及器材专门零售,1.0,
130628.0,1989.0,高阳县,保定市,河北省,批发和零售业,零售业,综合零售,9.0,
130628.0,1989.0,高阳县,保定市,河北省,批发和零售业,零售业,食品、饮料及烟草制品专门零售,1.0,
130628.0,1989.0,高阳县,保定市,河北省,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,电力供应,1.0,
130628.0,1989.0,高阳县,保定市,河北省,金融业,货币金融服务,货币银行服务,1.0,
130628.0,1990.0,高阳县,保定市,河北省,交通运输、仓储和邮政业,道路运输业,道路货物运输,1.0,
130628.0,1990.0,高阳县,保定市,河北省,住宿和餐饮业,餐饮业,正餐服务,1.0,
130628.0,1990.0,高阳县,保定市,河北省,制造业,家具制造业,木质家具制造,1.0,
130628.0,1990.0,高阳县,保定市,河北省,制造业,纺织业,家用纺织制成品制造,1.0,
130628.0,1990.0,高阳县,保定市,河北省,制造业,纺织业,棉纺织及印染精加工,2.0,
130628.0,1990.0,高阳县,保定市,河北省,制造业,通用设备制造业,通用零部件制造,1.0,
130628.0,1990.0,高阳县,保定市,河北省,制造业,非金属矿物制品业,砖瓦、石材等建筑材料制造,5.0,
130628.0,1990.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,机动车、电子产品和日用产品修理业,汽车、摩托车修理与维护,1.0,
130628.0,1990.0,高阳县,保定市,河北省,建筑业,建筑安装业,管道和设备安装,1.0,
130628.0,1990.0,高阳县,保定市,河北省,批发和零售业,批发业,农、林、牧产品批发,3.0,
130628.0,1990.0,高阳县,保定市,河北省,批发和零售业,批发业,矿产品、建材及化工产品批发,1.0,
130628.0,1990.0,高阳县,保定市,河北省,批发和零售业,批发业,食品、饮料及烟草制品批发,5.0,
130628.0,1990.0,高阳县,保定市,河北省,批发和零售业,零售业,汽车、摩托车、燃料及零配件专门零售,1.0,
130628.0,1990.0,高阳县,保定市,河北省,批发和零售业,零售业,综合零售,2.0,
130628.0,1990.0,高阳县,保定市,河北省,批发和零售业,零售业,货摊、无店铺及其他零售业,1.0,
130628.0,1990.0,高阳县,保定市,河北省,批发和零售业,零售业,食品、饮料及烟草制品专门零售,1.0,
130628.0,1990.0,高阳县,保定市,河北省,金融业,货币金融服务,货币银行服务,8.0,
130628.0,1991.0,高阳县,保定市,河北省,交通运输、仓储和邮政业,邮政业,邮政基本服务,1.0,
130628.0,1991.0,高阳县,保定市,河北省,信息传输、软件和信息技术服务业,电信、广播电视和卫星传输服务,电信,3.0,
130628.0,1991.0,高阳县,保定市,河北省,制造业,计算机、通信和其他电子设备制造业,计算机制造,1.0,
130628.0,1991.0,高阳县,保定市,河北省,制造业,通用设备制造业,锅炉及原动设备制造,1.0,
130628.0,1991.0,高阳县,保定市,河北省,制造业,非金属矿物制品业,砖瓦、石材等建筑材料制造,1.0,
130628.0,1991.0,高阳县,保定市,河北省,批发和零售业,批发业,医药及医疗器材批发,1.0,
130628.0,1991.0,高阳县,保定市,河北省,批发和零售业,批发业,机械设备、五金产品及电子产品批发,1.0,
130628.0,1991.0,高阳县,保定市,河北省,批发和零售业,批发业,食品、饮料及烟草制品批发,2.0,
130628.0,1991.0,高阳县,保定市,河北省,批发和零售业,零售业,五金、家具及室内装饰材料专门零售,1.0,
130628.0,1991.0,高阳县,保定市,河北省,批发和零售业,零售业,家用电器及电子产品专门零售,1.0,
130628.0,1991.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,广告业,1.0,
130628.0,1992.0,高阳县,保定市,河北省,制造业,纺织业,毛纺织及染整精加工,1.0,
130628.0,1992.0,高阳县,保定市,河北省,制造业,金属制品业,结构性金属制品制造,1.0,
130628.0,1992.0,高阳县,保定市,河北省,制造业,非金属矿物制品业,砖瓦、石材等建筑材料制造,4.0,
130628.0,1992.0,高阳县,保定市,河北省,批发和零售业,批发业,医药及医疗器材批发,2.0,
130628.0,1992.0,高阳县,保定市,河北省,批发和零售业,批发业,机械设备、五金产品及电子产品批发,1.0,
130628.0,1992.0,高阳县,保定市,河北省,批发和零售业,零售业,五金、家具及室内装饰材料专门零售,1.0,
130628.0,1992.0,高阳县,保定市,河北省,批发和零售业,零售业,汽车、摩托车、燃料及零配件专门零售,5.0,
130628.0,1992.0,高阳县,保定市,河北省,批发和零售业,零售业,纺织、服装及日用品专门零售,1.0,
130628.0,1992.0,高阳县,保定市,河北省,批发和零售业,零售业,综合零售,1.0,
130628.0,1992.0,高阳县,保定市,河北省,批发和零售业,零售业,食品、饮料及烟草制品专门零售,1.0,
130628.0,1992.0,高阳县,保定市,河北省,金融业,货币金融服务,货币银行服务,4.0,
130628.0,1993.0,高阳县,保定市,河北省,制造业,纺织业,家用纺织制成品制造,1.0,
130628.0,1993.0,高阳县,保定市,河北省,制造业,纺织业,毛纺织及染整精加工,2.0,
130628.0,1993.0,高阳县,保定市,河北省,制造业,纺织服装、服饰业,机织服装制造,1.0,
130628.0,1993.0,高阳县,保定市,河北省,制造业,非金属矿物制品业,砖瓦、石材等建筑材料制造,1.0,
130628.0,1993.0,高阳县,保定市,河北省,批发和零售业,批发业,医药及医疗器材批发,1.0,
130628.0,1993.0,高阳县,保定市,河北省,批发和零售业,批发业,矿产品、建材及化工产品批发,1.0,
130628.0,1993.0,高阳县,保定市,河北省,批发和零售业,批发业,纺织、服装及家庭用品批发,2.0,
130628.0,1993.0,高阳县,保定市,河北省,批发和零售业,零售业,汽车、摩托车、燃料及零配件专门零售,2.0,
130628.0,1993.0,高阳县,保定市,河北省,批发和零售业,零售业,综合零售,1.0,
130628.0,1993.0,高阳县,保定市,河北省,批发和零售业,零售业,货摊、无店铺及其他零售业,1.0,
130628.0,1993.0,高阳县,保定市,河北省,金融业,货币金融服务,货币银行服务,3.0,
130628.0,1994.0,高阳县,保定市,河北省,农、林、牧、渔业,农业,谷物种植,1.0,
130628.0,1994.0,高阳县,保定市,河北省,制造业,文教、工美、体育和娱乐用品制造业,工艺美术品制造,1.0,
130628.0,1994.0,高阳县,保定市,河北省,制造业,橡胶和塑料制品业,塑料制品业,1.0,
130628.0,1994.0,高阳县,保定市,河北省,制造业,纺织业,棉纺织及印染精加工,6.0,
130628.0,1994.0,高阳县,保定市,河北省,制造业,纺织业,毛纺织及染整精加工,3.0,
130628.0,1994.0,高阳县,保定市,河北省,制造业,纺织服装、服饰业,服饰制造,1.0,
130628.0,1994.0,高阳县,保定市,河北省,制造业,纺织服装、服饰业,机织服装制造,1.0,
130628.0,1994.0,高阳县,保定市,河北省,制造业,造纸和纸制品业,造纸,1.0,
130628.0,1994.0,高阳县,保定市,河北省,制造业,金属制品业,建筑、安全用金属制品制造,1.0,
130628.0,1994.0,高阳县,保定市,河北省,制造业,非金属矿物制品业,砖瓦、石材等建筑材料制造,1.0,
130628.0,1994.0,高阳县,保定市,河北省,批发和零售业,批发业,其他批发业,1.0,
130628.0,1994.0,高阳县,保定市,河北省,批发和零售业,批发业,机械设备、五金产品及电子产品批发,1.0,
130628.0,1994.0,高阳县,保定市,河北省,批发和零售业,批发业,纺织、服装及家庭用品批发,2.0,
130628.0,1994.0,高阳县,保定市,河北省,批发和零售业,零售业,汽车、摩托车、燃料及零配件专门零售,1.0,
130628.0,1994.0,高阳县,保定市,河北省,批发和零售业,零售业,食品、饮料及烟草制品专门零售,1.0,
130628.0,1994.0,高阳县,保定市,河北省,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,电力生产,1.0,
130628.0,1994.0,高阳县,保定市,河北省,金融业,货币金融服务,货币银行服务,1.0,
130628.0,1995.0,高阳县,保定市,河北省,交通运输、仓储和邮政业,道路运输业,道路货物运输,1.0,
130628.0,1995.0,高阳县,保定市,河北省,制造业,专用设备制造业,农、林、牧、渔专用机械制造,1.0,
130628.0,1995.0,高阳县,保定市,河北省,制造业,文教、工美、体育和娱乐用品制造业,工艺美术品制造,1.0,
130628.0,1995.0,高阳县,保定市,河北省,制造业,纺织业,丝绢纺织及印染精加工,2.0,
130628.0,1995.0,高阳县,保定市,河北省,制造业,纺织业,家用纺织制成品制造,6.0,
130628.0,1995.0,高阳县,保定市,河北省,制造业,纺织业,棉纺织及印染精加工,1.0,
130628.0,1995.0,高阳县,保定市,河北省,制造业,纺织业,毛纺织及染整精加工,2.0,
130628.0,1995.0,高阳县,保定市,河北省,制造业,纺织服装、服饰业,机织服装制造,2.0,
130628.0,1995.0,高阳县,保定市,河北省,制造业,造纸和纸制品业,纸制品制造,1.0,
130628.0,1995.0,高阳县,保定市,河北省,制造业,非金属矿物制品业,砖瓦、石材等建筑材料制造,1.0,
