序号,标题,发文单位,发文时间,文号,政策类别,正文,来源URL
1,高阳纺织业2000年转型记录,河北资本,2000,,纺织行业、产业升级,2000年左右，三利集团从毛线生产转向毛巾生产和销售。通过对生产机器进行调整，新建部分工厂车间，聘请高端人才等措施，逐渐将毛巾业务做大做强。2015年，公司生产毛巾织物7000吨，相当于全国每年有1亿人次在使用三利毛巾。,http://m.toutiao.com/group/7417094596989944359/
2,高阳纺织商贸城启动运营（2001年5月）,高阳县政府,2001-05-09,,毛巾产业、产业集群、市场建设,"高阳纺织商贸城位于高阳县城东南角，于2001年5月9日启动运营，总控面积525亩，建筑面积23万平方米，总投资3.5亿元人民币。分为13个区（11个门店区、2个棚区）及一个精品展厅，共可容纳常驻商户1200余家和1468家流动商户。市场主营毛巾、浴巾、毛巾被、餐巾、毛线、毛毯等上百个品种，上万个花色。其中精品展厅汇聚了高阳及各地126家企业的纺织精品，是高阳家纺精品展示会的主会场。现在纺织商贸城已经发展成为国内最大的毛巾专业批发市场，成为华北地区最大的纺织品交易物流中心、信息流中心。商贸城内建有""纺织品研发中心""、""质量检测中心""、""知识产权保护中心""和通达全国的""物流配送中心""等，配套服务设施健全。",https://m.baike.com/wiki/高阳纺织商贸城/5052607
3,高阳县2002年织机设备升级换代,高阳县政府,2002,,纺织行业、产业升级,全县织机从2002年的2.2万台开始向无梭织机升级换代。改革开放以后，高阳纺织业开始了真正的腾飞，乡镇企业异军突起，纺织厂家星罗棋布，涌现出百台织机以上的纺织专业村98个。,https://m.baike.com/wiki/高阳纺织博物馆/1483372
4,高阳纺织业发展历程记录（2000-2004年织机增长）,高阳县纺织博物馆,2003,,纺织行业、产业集群,"高阳纺织博物馆建于2003年，总占地面积746平方米，投资200多万元，是全国唯一一座县级专业纺织博物馆。馆内共有藏品1368件，包括明清时期的扔梭织布机、扽梭织布机和民国时期的扽梭提花织布机等纺织机械精品。全县织机从2002年的2.2万台发展到2004年的3.5万台，织机设备实现了从传统有梭织机向无梭织机的升级换代。改革开放以后，高阳纺织业开始了真正的腾飞，乡镇企业异军突起，纺织厂家星罗棋布，涌现出百台织机以上的纺织专业村98个，全县拥有织机35000多台，纺织从业人数近20万人，纱、丝年吞吐量占全国总产量的四分之一。全县纺织业总产值40亿元，实现利税6300多万元。全县农民纯收入的一半来自纺织业。产品行销全国各地，在五大洋洲也倍受青睐。1997年，高阳被河北省人民政府命名为""纺织强县""。",https://m.baike.com/wiki/高阳纺织博物馆/1483372
5,卡缦公司设计总监史树雷进入高阳从事设计工作,上游新闻,2004,,纺织行业、品牌建设,来自河北沧州的史树雷大学学的是美术专业，2004年毕业后，在老师的推荐下来到高阳从事设计工作，至今已整整20年。上世纪90年代，高阳及周边地区纺织产业在设计制版方面仍采用传统手法，工人将一张硫酸纸铺在毛巾上描绘花纹，在牛皮纸上打孔制版。史树雷将电脑知识运用到设计工作当中，相比以往传统的设计制版方法能节省一半时间。2011年企业领导层决定向毛巾生产方向转型，2013年成立了卡缦公司，工厂也正式投入生产，目前已经成为高阳毛巾行业中的领军企业。,http://m.toutiao.com/group/7417094596989944359/
6,高阳纺织产业2000年后转型升级记录,河北资本,2005,,纺织行业、产业升级,"改革开放以后，高阳坚持发挥历史传统优势，积极发展纺织业，逐步形成毛巾、毛线、毛毯三大主导产品为主，毛纺、棉纺、棉织、毛巾和毛毯五大支柱为支撑，纺、织、印、染门类齐全，专业化分工明细的纺织工业体系，已成为国家级的纺织基地。高阳的""多妙""、""三利""、""双羊""、""春燕""等名牌产品风靡全国，行销二十多个国家和地区。三利集团有限公司，通过iso9002国际质量体系认证，拥有自营进出口许可权，三利品牌被命名为中国驰名商标。双羊牌毛线被评为省级质量免检产品，并列入中国名牌产品行列，被国际羊毛局认可，并颁发了纯羊毛标志证书。",http://www.gyfzzs.com/about.html
7,柏立信参加广交会获取外贸订单（2005年）,河北经济日报,2005,,毛巾产业、外贸出口、品牌建设,河北柏立信家纺股份有限公司从高阳县野王村的一个家庭作坊起步，2005年参加广交会（中国进出口商品交易会）成为企业出海的重要转折点。当时企业面临订单大幅减少、销售渠道遇阻的困境，企业负责人带着在北京第二外国语学院上大学的女儿参加广交会。没有提前租展位，借用别人的一小块地方摆上自家产的毛巾、围巾寻找客户。一位澳大利亚老华侨热心地把常用的纺织贸易专业术语写在纸上帮助交流。广交会七天下来，一共接了20多个集装箱的订单。此后柏立信每年都参加广交会，没有一次缺席，陆续参加法兰克福等国外知名专业展会，麦德龙、无印良品、阿玛尼、香奈儿、迪奥、宜家、欧莱雅、迪士尼都成为客户，出口规模从千万元级逐渐跨上亿元级，产品远销美国、欧盟、日本、韩国等34个国家和地区。,http://m.toutiao.com/group/7403722635349066240/
8,高阳县污水处理厂建设（2006年）,高阳县政府,2006,,环保治理、循环经济、产业集群,2006年，高阳县投资1.78亿元建成日处理能力6万吨的污水处理厂，并同步建设24.5公里的配套管网，引导企业将印染废水集中到污水处理厂统一处理。这是全省最大的县级污水处理厂，为破解纺织产业环保瓶颈提供了关键支撑。污水处理厂的建设标志着高阳纺织产业从粗放型发展向绿色循环经济的重大转变。,http://www.gaoyang.gov.cn/com_show.asp?infoid=109
9,高阳纺织商贸城2007年交易额达30多亿元,高阳县纺织商贸城管委会,2007,,毛巾产业、产业集群、市场建设,高阳纺织商贸城于2001年5月启动运营，总投资3.5亿元，占地525亩，建筑面积23万平方米。有固定门店1282套和1.2万平方米的棚区，可容纳固定商户1200余家和1468个临近商户。市场主营毛巾、浴巾、毛巾被等上百个品种，上万个花色。产品销往全国各地，并出口俄罗斯、韩国、罗马尼亚、南非等30多个国家和地区。2007年市场交易额达30多亿元。是目前全国规模最大的毛巾专业批发市场。市场设施完备，自动消防、闭路监控、有线电视、大型电子显示屏、计算机网络等一应俱全。,http://m.efu.com.cn/corp/1076681.html
10,高阳县纺织业外贸出口基地建设起步,河北省工信厅,2007,,毛巾产业、外贸出口,高阳县纺织产业外贸出口逐步发展，现有出口企业500多家，出口总量居全国第三。近三年出口年均增长10%以上，产品远销到美国、俄罗斯、日本、罗马尼亚等50多个国家和地区，高档毛巾制品逐渐打入欧美市场。在境外设立了200多个营销网点。建设了产品创新、检测环保、交易展示、电子商务、人才培训5大类14个外贸公共服务平台。,http://www.gyfzzs.com/about.html
