Topic,Words,Frequency,Timestamp
-1,"人均, 基于, 整理, 版本, 备注",2,2000
0,"城镇化率, 道路, 工程, 改造, 县城",1,2000
2,"毛巾, 纺织, 年产, 产销, 全国",2,2000
3,"保持稳定, 固定资产, 生产总值, 扩大, 稳步",1,2000
-1,"人均, 基于, 整理, 版本, 备注",2,2001
0,"城镇化率, 道路, 工程, 改造, 县城",1,2001
2,"毛巾, 纺织, 年产, 产销, 全国",2,2001
3,"保持稳定, 固定资产, 生产总值, 扩大, 稳步",1,2001
-1,"人均, 基于, 整理, 版本, 备注",2,2002
0,"城镇化率, 道路, 工程, 改造, 县城",1,2002
2,"毛巾, 纺织, 年产, 产销, 全国",2,2002
3,"保持稳定, 固定资产, 生产总值, 扩大, 稳步",1,2002
-1,"人均, 基于, 整理, 版本, 备注",2,2003
0,"城镇化率, 道路, 工程, 改造, 县城",1,2003
2,"毛巾, 纺织, 年产, 产销, 全国",2,2003
3,"保持稳定, 固定资产, 生产总值, 扩大, 稳步",1,2003
-1,"人均, 基于, 整理, 版本, 备注",2,2004
0,"城镇化率, 道路, 工程, 改造, 县城",1,2004
2,"毛巾, 纺织, 年产, 产销, 全国",2,2004
3,"保持稳定, 固定资产, 生产总值, 扩大, 稳步",1,2004
-1,"人均, 基于, 整理, 版本, 备注",2,2005
0,"城镇化率, 道路, 工程, 改造, 县城",1,2005
2,"毛巾, 纺织, 年产, 产销, 全国",2,2005
3,"保持稳定, 固定资产, 生产总值, 扩大, 稳步",1,2005
-1,"人均, 基于, 整理, 版本, 备注",2,2006
0,"城镇化率, 道路, 工程, 改造, 县城",1,2006
2,"毛巾, 纺织, 年产, 产销, 全国",2,2006
3,"保持稳定, 固定资产, 生产总值, 扩大, 稳步",1,2006
-1,"人均, 基于, 整理, 版本, 备注",2,2007
0,"城镇化率, 道路, 工程, 改造, 县城",1,2007
2,"毛巾, 纺织, 年产, 产销, 全国",2,2007
3,"保持稳定, 固定资产, 生产总值, 扩大, 稳步",1,2007
1,"地区, 左右, 预期, 主要, 生产总值",1,2008
2,"毛巾, 纺织, 年产, 产销, 全国",1,2008
3,"固定资产, 指标, 生产总值, 投资, 保持",1,2008
1,"地区, 左右, 预期, 主要, 生产总值",1,2009
2,"毛巾, 纺织, 年产, 全国, 产销",1,2009
3,"保持稳定, 固定资产, 指标, 生产总值, 投资",1,2009
0,"冲击, 金融危机, 平稳, 国际, 应对",1,2010
1,"地区, 左右, 预期, 主要, 生产总值",1,2010
2,"毛巾, 纺织, 年产, 产销, 地位",1,2010
3,"固定资产, 指标, 生产总值, 投资, 保持",1,2010
1,"地区, 左右, 预期, 主要, 生产总值",1,2011
2,"毛巾, 纺织, 年产, 产销, 地位",1,2011
3,"保持稳定, 固定资产, 生产总值, 指标, 投资",1,2011
1,"地区, 左右, 预期, 主要, 生产总值",1,2012
2,"纺织, 毛巾, 年产, 余家, 万吨",1,2012
3,"保持稳定, 固定资产, 生产总值, 指标, 投资",1,2012
0,"道路, 改造, 多条, 城乡建设, 翻新",1,2013
1,"左右, 地区, 预期, 增加值, 主要",1,2013
2,"毛巾, 纺织, 年产, 三分之一, 全国",1,2013
3,"固定资产, 生产总值, 投资, 稳步, 公共",1,2013
-1,"来源, url, 基于, 整理, 回顾",1,2014
0,"道路, 改造, 第十六届, 呈现, 多条",3,2014
1,"左右, 收入, 地区, 预期, 预算",1,2014
2,"毛巾, 纺织, 年产, 全国, 万吨",1,2014
3,"保持稳定, 固定资产, 生产总值, 投资, 消费品",1,2014
0,"项目, 加快, 产业, 实施, 循环",34,2015
1,"收入, 支配, 以内, 目标, 控制",1,2015
-1,"报告, 基于, 备注, 版本, 整理",1,2016
0,"脱贫, 各项, 道路, 第十七届, 进展",4,2016
1,"左右, 收入, 地区, 预算, 预期",1,2016
2,"纺织, 毛巾, 全国, 产业, 年产",1,2016
3,"保持稳定, 固定资产, 生产总值, 投资, 消费品",1,2016
0,"加快, 县城, 项目, 企业, 实施",58,2017
1,"亿元, 收入, 明显, 完成, 万元",2,2017
0,"企业, 项目, 县城, 加快, 实施",48,2018
1,"收入, 万元, 完成, 规模, 工业",2,2018
0,"项目, 实施, 加快, 雄安, 新区",16,2019
1,"收入, 万元, 完成, 预算, 地区",2,2019
-1,"农村居民, 人均, 支配, 分别, 城镇",1,2020
0,"理念, 回到, 决不能, 高质量, 小康社会",8,2020
1,"城镇, 预期, pm25, 下达任务, 浓度",3,2020
0,"新篇章, 谱写, 高质量, 达到, 雄安",25,2021
1,"前列, 效能, 主要, 程度, 目标",1,2021
2,"纺织, 全国, 毛巾, 企业, 产业",1,2021
0,"奋进, 行动, 实施, 高质量, 一年",15,2022
1,"同比, 左右, 收入, 完成, 以上",2,2022
0,"县委, 高质量, 奋进, 实施, 报告",52,2023
0,"县委, 报告, 会议, 高质量, 习近平",40,2024
0,"打造, 产业, 转型, 区域, 消费",13,2025
1,"左右, 收入, 地区, 预算, 预期",1,2025
0,"财政, 决议, 人大, 保障, 执行",6,2026
1,"万元, 收入, 预算, 支出, 一般",5,2026
