County_Code,Year,total_firms,textile_firms,textile_ratio,new_total_firms,new_textile_firms,textile_firms_ma3
130628,1979,1.0,0,0.0,1.0,0,0.0
130628,1980,3.0,1,0.3333333333333333,3.0,1,0.5
130628,1981,2.0,0,0.0,2.0,0,0.3333333333333333
130628,1982,1.0,0,0.0,1.0,0,0.3333333333333333
130628,1984,6.0,0,0.0,6.0,0,0.0
130628,1985,2.0,0,0.0,2.0,0,0.0
130628,1986,2.0,0,0.0,2.0,0,0.0
130628,1988,1.0,0,0.0,1.0,0,0.0
130628,1989,31.0,1,0.03225806451612903,31.0,1,0.3333333333333333
130628,1990,36.0,3,0.08333333333333333,36.0,3,1.3333333333333333
130628,1991,14.0,0,0.0,14.0,0,1.3333333333333333
130628,1992,22.0,1,0.045454545454545456,22.0,1,1.3333333333333333
130628,1993,16.0,4,0.25,16.0,4,1.6666666666666667
130628,1994,25.0,11,0.44,25.0,11,5.333333333333333
130628,1995,21.0,13,0.6190476190476191,21.0,13,9.333333333333334
130628,1996,78.0,42,0.5384615384615384,78.0,42,22.0
130628,1997,34.0,6,0.17647058823529413,34.0,6,20.333333333333332
130628,1998,35.0,12,0.34285714285714286,35.0,12,20.0
130628,1999,54.0,18,0.3333333333333333,54.0,18,12.0
130628,2000,126.0,35,0.2777777777777778,126.0,35,21.666666666666668
130628,2001,108.0,34,0.3148148148148148,108.0,34,29.0
130628,2002,145.0,57,0.3931034482758621,145.0,57,42.0
130628,2003,159.0,59,0.3710691823899371,159.0,59,50.0
130628,2004,2049.0,445,0.21717911176183505,2049.0,445,187.0
130628,2005,449.0,115,0.2561247216035635,449.0,115,206.33333333333334
130628,2006,430.0,106,0.24651162790697675,430.0,106,222.0
130628,2007,573.0,76,0.13263525305410123,573.0,76,99.0
130628,2008,1691.0,157,0.09284447072738025,1691.0,157,113.0
130628,2009,1404.0,111,0.07905982905982906,1404.0,111,114.66666666666667
130628,2010,1553.0,86,0.05537669027688345,1553.0,86,118.0
130628,2011,1117.0,76,0.06803939122649955,1117.0,76,91.0
130628,2012,1144.0,124,0.10839160839160839,1144.0,124,95.33333333333333
130628,2013,1955.0,325,0.16624040920716113,1955.0,325,175.0
130628,2014,1945.0,325,0.16709511568123395,1945.0,325,258.0
130628,2015,3196.0,421,0.13172715894868586,3196.0,421,357.0
130628,2016,4751.0,716,0.15070511471269207,4751.0,716,487.3333333333333
130628,2017,5141.0,620,0.12059910523244505,5141.0,620,585.6666666666666
130628,2018,4921.0,450,0.09144482828693355,4921.0,450,595.3333333333334
130628,2019,5239.0,534,0.10192784882611185,5239.0,534,534.6666666666666
130628,2020,5164.0,503,0.09740511231603408,5164.0,503,495.6666666666667
130628,2021,5705.0,460,0.08063102541630149,5705.0,460,499.0
130628,2022,6102.0,443,0.07259914782038676,6102.0,443,468.6666666666667
130628,2023,7807.0,777,0.0995260663507109,7807.0,777,560.0
130628,2024,7076.0,642,0.09072922555115885,7076.0,642,620.6666666666666
