Year,industry_level2,firm_count
1980,纺织业,1.0
1989,纺织业,1.0
1990,纺织业,3.0
1992,纺织业,1.0
1993,纺织业,3.0
1993,纺织服装、服饰业,1.0
1994,纺织业,9.0
1994,纺织服装、服饰业,2.0
1995,纺织业,11.0
1995,纺织服装、服饰业,2.0
1996,纺织业,37.0
1996,纺织服装、服饰业,5.0
1997,纺织业,4.0
1997,纺织服装、服饰业,2.0
1998,纺织业,9.0
1998,纺织服装、服饰业,3.0
1999,纺织业,14.0
1999,纺织服装、服饰业,4.0
2000,纺织业,29.0
2000,纺织服装、服饰业,6.0
2001,纺织业,25.0
2001,纺织服装、服饰业,9.0
2002,纺织业,45.0
2002,纺织服装、服饰业,12.0
2003,纺织业,44.0
2003,纺织服装、服饰业,15.0
2004,纺织业,358.0
2004,纺织服装、服饰业,87.0
2005,纺织业,79.0
2005,纺织服装、服饰业,36.0
2006,纺织业,75.0
2006,纺织服装、服饰业,31.0
2007,纺织业,51.0
2007,纺织服装、服饰业,25.0
2008,纺织业,130.0
2008,纺织服装、服饰业,27.0
2009,纺织业,96.0
2009,纺织服装、服饰业,15.0
2010,纺织业,75.0
2010,纺织服装、服饰业,11.0
2011,纺织业,67.0
2011,纺织服装、服饰业,9.0
2012,纺织业,93.0
2012,纺织服装、服饰业,31.0
2013,纺织业,278.0
2013,纺织服装、服饰业,47.0
2014,纺织业,237.0
2014,纺织服装、服饰业,88.0
2015,纺织业,340.0
2015,纺织服装、服饰业,81.0
2016,纺织业,498.0
2016,纺织服装、服饰业,218.0
2017,纺织业,412.0
2017,纺织服装、服饰业,208.0
2018,纺织业,352.0
2018,纺织服装、服饰业,98.0
2019,纺织业,449.0
2019,纺织服装、服饰业,85.0
2020,纺织业,362.0
2020,纺织服装、服饰业,141.0
2021,纺织业,261.0
2021,纺织服装、服饰业,199.0
2022,纺织业,345.0
2022,纺织服装、服饰业,98.0
2023,纺织业,697.0
2023,纺织服装、服饰业,80.0
2024,纺织业,613.0
2024,纺织服装、服饰业,29.0
