Year,policy_doc_count,env_policy_count,ecommerce_policy_count,brand_policy_count,cluster_policy_count,equipment_policy_count
2000,1,0,0,0,1,0
2001,1,0,0,0,1,0
2002,1,0,0,0,1,0
2003,1,0,0,0,1,0
2004,1,0,0,1,0,0
2005,2,0,0,1,1,0
2006,1,1,0,0,1,0
2007,2,0,0,0,1,0
2008,2,1,0,0,1,0
2009,3,0,1,2,1,0
2010,2,0,0,0,2,0
2011,4,2,1,1,0,0
2012,2,1,1,1,0,0
2013,5,2,2,2,0,0
2014,3,0,2,0,3,0
2015,5,1,2,1,2,0
2016,7,0,3,2,2,1
2017,3,0,0,3,0,0
2018,4,3,1,1,3,1
2019,3,1,1,0,3,0
2020,3,1,1,0,2,1
2021,3,0,1,0,3,0
2022,3,1,0,1,2,0
2023,7,1,1,3,4,2
2024,13,6,5,7,6,5
2025,6,1,0,4,3,3
2026,4,1,0,3,2,2
