County_Code,Year,total_chunks,sample_reliable,keyword_passed,filter_passed,scored,equipment_index,environment_index,ecommerce_index,brandquality_index,cluster_index,finance_index,education_index,L1_equipment_index,L2_equipment_index,L1_environment_index,L2_environment_index,L1_ecommerce_index,L2_ecommerce_index,L1_brandquality_index,L2_brandquality_index,L1_cluster_index,L2_cluster_index,L1_finance_index,L2_finance_index,L1_education_index,L2_education_index,policy_intensity_total,policy_intensity_production,policy_intensity_market,policy_mix_equipment_env,policy_mix_production_market
130000,2000,59,1,15,8,8,5.08,0.0,0.0,1.69,0.0,8.47,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
130000,2001,193,1,54,36,36,5.18,1.04,0.0,0.0,5.18,11.4,4.15,5.08,,0.0,,0.0,,1.69,,0.0,,8.47,,0.0,,15.24,5.08,10.16,0.0,-0.6073312609750892
130000,2002,176,1,41,28,28,1.7,1.14,3.98,5.68,3.41,13.64,2.84,5.18,5.08,1.04,0.0,0.0,0.0,0.0,1.69,5.18,0.0,11.4,8.47,4.15,0.0,22.799999999999997,11.399999999999999,11.4,0.053872,-1.1102230246251565e-16
130000,2003,266,1,78,57,57,3.01,4.14,2.63,3.38,3.38,14.29,4.51,1.7,5.18,1.14,1.04,3.98,0.0,5.68,0.0,3.41,5.18,13.64,11.4,2.84,4.15,29.55,6.25,23.3,0.019379999999999998,-1.2094748814799194
130000,2004,225,1,61,48,48,2.22,3.56,2.22,1.78,0.44,13.33,8.44,3.01,1.7,4.14,1.14,2.63,3.98,3.38,5.68,3.38,3.41,14.29,13.64,4.51,2.84,30.83,10.53,20.299999999999997,0.12461399999999997,-0.6137547384344118
130000,2005,45,1,16,10,10,0.0,4.44,0.0,0.0,0.0,35.56,4.44,2.22,3.01,3.56,4.14,2.22,2.63,1.78,3.38,0.44,3.38,13.33,14.29,8.44,4.51,23.55,6.220000000000001,17.33,0.079032,-0.9316841089468786
130000,2006,82,1,7,3,3,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,2.22,4.44,3.56,0.0,2.22,0.0,1.78,0.0,0.44,35.56,13.33,4.44,8.44,40.0,4.44,35.56,0.0,-1.905175685718098
130000,2007,229,1,73,60,60,1.31,12.23,0.44,6.99,12.23,9.61,3.93,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,2.44,0.0,0.0,35.56,0.0,4.44,2.44,2.44,0.0,0.0,1.235471471385307
130000,2008,30,1,9,4,4,0.0,0.0,0.0,0.0,0.0,13.33,0.0,1.31,0.0,12.23,0.0,0.44,0.0,6.99,0.0,12.23,2.44,9.61,0.0,3.93,0.0,42.81,25.770000000000003,17.04,0.160213,0.39469034289778365
130000,2009,229,1,97,78,78,2.18,20.52,0.44,6.55,17.03,20.09,6.99,0.0,1.31,0.0,12.23,0.0,0.44,0.0,6.99,0.0,12.23,13.33,9.61,0.0,3.93,13.33,0.0,13.33,0.0,-2.6623552418400807
130000,2010,197,1,65,47,47,3.55,12.18,0.0,6.09,10.15,17.26,0.0,2.18,0.0,20.52,0.0,0.44,0.0,6.55,0.0,17.03,0.0,20.09,13.33,6.99,0.0,66.81,39.730000000000004,27.08,0.447336,0.371907342502711
130000,2011,37,1,15,13,13,2.7,21.62,0.0,0.0,10.81,2.7,5.41,3.55,2.18,12.18,20.52,0.0,0.44,6.09,6.55,10.15,17.03,17.26,20.09,0.0,6.99,49.230000000000004,25.880000000000003,23.35,0.43239,0.0988506661263501
130000,2012,38,1,15,12,12,2.63,26.32,0.0,0.0,5.26,5.26,2.63,2.7,3.55,21.62,12.18,0.0,0.0,0.0,6.09,10.81,10.15,2.7,17.26,5.41,0.0,37.830000000000005,35.13,2.7,0.5837400000000001,2.2787907255093702
130000,2013,34,1,13,10,10,5.88,32.35,0.0,0.0,2.94,11.76,8.82,2.63,2.7,26.32,21.62,0.0,0.0,0.0,0.0,5.26,10.81,5.26,2.7,2.63,5.41,39.47,34.21,5.26,0.6922159999999999,1.7271499480549541
130000,2014,36,1,12,9,9,0.0,25.0,5.56,0.0,5.56,13.89,0.0,5.88,2.63,32.35,26.32,0.0,0.0,0.0,0.0,2.94,5.26,11.76,5.26,8.82,2.63,52.93,41.17,11.76,1.9021800000000002,1.1953937898418248
130000,2015,48,1,15,11,11,0.0,16.67,12.5,0.0,14.58,10.42,0.0,0.0,5.88,25.0,32.35,5.56,0.0,0.0,0.0,5.56,2.94,13.89,11.76,0.0,8.82,50.01,30.56,19.45,0.0,0.4339076134888627
130000,2016,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,25.0,12.5,5.56,0.0,0.0,14.58,5.56,10.42,13.89,0.0,0.0,54.17,31.25,22.92,0.0,0.29880311415935035
130000,2017,39,1,18,17,17,5.13,43.59,2.56,5.13,17.95,17.95,2.56,0.0,0.0,0.0,16.67,0.0,12.5,0.0,0.0,0.0,14.58,0.0,10.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130000,2018,194,1,61,50,50,0.0,14.43,8.25,7.22,9.28,13.4,5.67,5.13,0.0,43.59,0.0,2.56,0.0,5.13,0.0,17.95,0.0,17.95,0.0,2.56,0.0,92.31,66.67,25.64,2.236167,0.9322291045719457
130000,2019,15,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13,14.43,43.59,8.25,2.56,7.22,5.13,9.28,17.95,13.4,17.95,5.67,2.56,52.58,23.71,28.869999999999997,0.0,-0.18964661222749962
130000,2020,14,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.43,0.0,8.25,0.0,7.22,0.0,9.28,0.0,13.4,0.0,5.67,0.0,0.0,0.0,0.0,0.0
130000,2021,200,1,57,51,51,2.0,14.5,6.0,3.0,11.5,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130000,2022,100,1,32,25,25,1.0,12.0,7.0,3.0,10.0,10.0,3.0,2.0,0.0,14.5,0.0,6.0,0.0,3.0,0.0,11.5,0.0,9.0,0.0,1.0,0.0,46.0,28.0,18.0,0.29,0.4228568508200336
